bank_code,Merkmal,name,post_code,city,short_name,pan,bic,Datensatz-nummer,Änderungs-kennzeichen,Bankleitzahl-löschung,Nachfolge-Bankleitzahl
57762265,2,Raiffeisenbank Grafschaft-Wachtberg (Gf P2),53501,Grafschaft,Raiffbk Grafschaft-Wachtbg,75216,,054225,U,0,00000000
58520086,1,UniCredit Bank - HypoVereinsbank,54203,Trier,UniCredit Bank-HypoVereinbk,22089,HYVEDEMM437,043176,U,0,00000000
58540035,1,Commerzbank,54204,Trier,Commerzbank Trier,24557,COBADEFFXXX,010243,U,0,00000000
58540035,2,Commerzbank,54432,Saarburg,Commerzbank Saarburg Saar,24557,,010255,U,0,00000000
58540035,2,Commerzbank,54502,Wittlich,Commerzbank Wittlich,24557,,056093,U,0,00000000
58550130,1,Sparkasse Trier,54292,Trier,Sparkasse Trier,55856,TRISDE55XXX,013276,U,0,00000000
58550130,2,Sparkasse Trier,54411,Hermeskeil,Sparkasse Trier,55856,,012558,U,0,00000000
58550130,2,Sparkasse Trier,54450,Freudenburg,Sparkasse Trier,55856,,012616,U,0,00000000
58550130,2,Sparkasse Trier,54343,Föhren,Sparkasse Trier,55856,,012623,U,0,00000000
58550130,2,Sparkasse Trier,54341,Fell,Sparkasse Trier,55856,,012629,U,0,00000000
58550130,2,Sparkasse Trier,54317,Osburg,Sparkasse Trier,55856,,012886,U,0,00000000
58550130,2,Sparkasse Trier,54453,Nittel,Sparkasse Trier,55856,,012910,U,0,00000000
58550130,2,Sparkasse Trier,54314,Zerf,Sparkasse Trier,55856,,012914,U,0,00000000
58550130,2,Sparkasse Trier,54346,Mehring,Sparkasse Trier,55856,,012980,U,0,00000000
58550130,2,Sparkasse Trier,54340,Leiwen,Sparkasse Trier,55856,,013014,U,0,00000000
58550130,2,Sparkasse Trier,54306,Kordel,Sparkasse Trier,55856,,013036,U,0,00000000
58550130,2,Sparkasse Trier,54329,Konz,Sparkasse Trier,55856,,013037,U,0,00000000
58550130,2,Sparkasse Trier,54427,Kell am See,Sparkasse Trier,55856,,013073,U,0,00000000
58550130,2,Sparkasse Trier,54457,Wincheringen,Sparkasse Trier,55856,,013215,U,0,00000000
58550130,2,Sparkasse Trier,54320,Waldrach,Sparkasse Trier,55856,,013250,U,0,00000000
58550130,2,Sparkasse Trier,54456,Tawern,Sparkasse Trier,55856,,013287,U,0,00000000
58550130,2,Sparkasse Trier,54338,Schweich,Sparkasse Trier,55856,,013321,U,0,00000000
58550130,2,Sparkasse Trier,54439,Saarburg,Sparkasse Trier,55856,,013336,U,0,00000000
58550130,2,Sparkasse Trier,54421,Reinsfeld,Sparkasse Trier,55856,,013365,U,0,00000000
58550130,2,Sparkasse Trier,54316,Pluwig,Sparkasse Trier,55856,,013384,U,0,00000000
58550130,2,Sparkasse Trier,54344,Kenn,Sparkasse Trier,55856,,029362,U,0,00000000
58560103,1,Volksbank Trier,54228,Trier,Volksbank Trier,65014,GENODED1TVB,028577,U,0,00000000
58560103,2,Volksbank Trier,54329,Konz,Volksbank Trier,65014,,028386,U,0,00000000
58560103,2,Volksbank Trier,54306,Kordel,Volksbank Trier,65014,,053423,U,0,00000000
58560103,2,Volksbank Trier,54338,Schweich,Volksbank Trier,65014,,053427,U,0,00000000
58560103,2,Volksbank Trier,54317,Thomm,Volksbank Trier,65014,,053428,U,0,00000000
58560103,2,Volksbank Trier,54311,Trierweiler,Volksbank Trier,65014,,053429,U,0,00000000
58560103,2,Volksbank Trier,54320,Waldrach,Volksbank Trier,65014,,053430,U,0,00000000
58560103,2,Volksbank Trier,54523,Hetzerath,Volksbank Trier,65014,,053434,U,0,00000000
58560103,2,Volksbank Trier,54453,Nittel,Volksbank Trier,65014,,056687,U,0,00000000
58560103,2,Volksbank Trier,54451,Irsch,Volksbank Trier,65014,,056688,U,0,00000000
58560103,2,Volksbank Trier,54314,Zerf,Volksbank Trier,65014,,056689,U,0,00000000
58560103,2,Volksbank Trier,54439,Saarburg,Volksbank Trier,65014,,056691,U,0,00000000
58560103,2,Volksbank Trier,54427,Kell am See,Volksbank Trier,65014,,056692,U,0,00000000
58560103,2,Volksbank Trier,54421,Reinsfeld,Volksbank Trier,65014,,056693,U,0,00000000
58560103,2,Volksbank Trier,54411,Hermeskeil,Volksbank Trier,65014,,056696,U,0,00000000
58560103,2,Volksbank Trier,54341,Fell,Volksbank Trier,65014,,053431,D,0,00000000
58560103,2,Volksbank Trier (Gf P2),54228,Trier,Volksbank Trier,75014,,054226,U,0,00000000
58560294,1,Pax-Bank,54220,Trier,Pax-Bank Trier,65033,GENODED1PA3,043012,U,1,37060193
58561626,1,Volksbank Saarburg -alt-,54439,Saarburg,Volksbank Saarburg -alt-,65155,GENODED1SRB,024066,U,0,00000000
58561626,2,Volksbank Saarburg (Gf P2),54439,Saarburg,Volksbank Saarburg,75155,,054227,U,0,00000000
58561771,1,Raiffeisenbank Mehring-Leiwen,54340,Leiwen,Raiffbk Mehring-Leiwen,65174,GENODED1MLW,022823,U,0,00000000
58561771,2,Raiffeisenbank Mehring-Leiwen,54346,Mehring,Raiffbk Mehring-Leiwen,65174,,023498,U,0,00000000
58561771,2,Raiffeisenbank Mehring-Leiwen (Gf P2),54340,Leiwen,Raiffbk Mehring-Leiwen,75174,,054228,U,0,00000000
58564788,1,Volksbank Hochwald-Saarburg -alt-,54439,Saarburg,VB Hochwald-Saarburg -alt-,65318,GENODED1HWM,023475,U,0,00000000
58564788,2,Volksbank Hochwald-Saarburg (Gf P2),54439,Saarburg,VB Hochwald-Saarburg,75318,,054229,U,0,00000000
