group,bank_code,branch_id,bank_code_new,sic_number,head_office_bank_code,bank_code_type,valid_from,sic,euro_sic,language,short_name,name,domicile_address,postal_address,post_code,city,phone,fax,phone_code,country_code,postal_account,swift
02,232,0003,,002324,230,3,20080825,1,1,1,UBS CH,UBS Switzerland AG,Badenerstrasse 26,Postfach 66,5442,Fislisbach,056 483 55 55,,,,*80-2-2,
02,233,0000,,002332,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Aeschenplatz 6,Postfach,4002,Basel,061 288 50 50,,,,*80-2-2,UBSWCHZH40A
02,233,0002,,002332,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Baslerstrasse 96,Postfach,4123,Allschwil 1,061 486 42 42,,,,*80-2-2,
02,233,0003,,002332,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse 31,Postfach,4144,Arlesheim,061 706 26 26,,,,*80-2-2,
02,233,0005,,002332,230,3,20060310,1,1,1,UBS CH,UBS Switzerland AG,"Ahornhof, Türkheimerstrasse",Postfach,4009,Basel,061 306 73 73,,,,*80-2-2,
02,233,0007,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Austrasse 2,Postfach,4153,Reinach BL 1,061 716 72 72,,,,*80-2-2,
02,233,0008,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Baselstrasse 48,Postfach,4125,Riehen 1,061 645 21 21,,,,*80-2-2,
02,233,0009,,002332,230,3,20050624,1,1,1,UBS CH,UBS Switzerland AG,Gellert / Hardstrasse 143,Postfach,4020,Basel,061 378 41 41,,,,*80-2-2,
02,233,0010,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Tellplatz 12,Postfach,4018,Basel,061 366 57 57,,,,*80-2-2,
02,233,0012,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Oberwilerstrasse 2,Postfach,4102,Binningen 1,061 426 52 52,,,,*80-2-2,
02,233,0013,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse 68,Postfach,4132,Muttenz 1,061 467 51 51,,,,*80-2-2,
02,233,0014,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 5,Postfach,4133,Pratteln 1,061 826 71 71,,,,*80-2-2,
02,233,0016,,002332,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Kleinbasel / Claraplatz 2,Postfach,4005,Basel,061 695 20 20,,,,*80-2-2,
02,233,0017,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Centralbahnplatz 6,Postfach,4002,Basel,061 270 46 46,,,,*80-2-2,
02,233,0019,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Lysbüchel / Elsässersrasse 256,Postfach,4013,Basel,061 327 43 43,,,,*80-2-2,
02,233,0020,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Neubad / Neubadstrasse 146,Postfach,4015,Basel,061 306 58 58,,,,*80-2-2,
02,233,0021,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,St. Johann / Elsässerstrasse 16,Postfach,4013,Basel,061 385 24 24,,,,*80-2-2,
02,233,0022,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse 53,Postfach,4127,Birsfelden,061 319 23 23,,,,*80-2-2,
02,233,0024,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Bottmingerstrasse 75,Postfach,4104,Oberwil BL,061 406 76 76,,,,*80-2-2,
02,233,0025,,002332,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Marktplatz 17,Postfach,4001,Basel,061 288 89 00,,,,*80-2-2,
02,234,0000,,002348,230,2,20150613,1,1,3,UBS CH,UBS Switzerland AG,Largo Elvezia 2,Casella postale,6501,Bellinzona,091 801 31 11,,,,*80-2-2,UBSWCHZH65A
02,234,0001,,002348,230,3,20050422,1,1,3,UBS CH,UBS Switzerland AG,Via Stazione,Casella postale,6780,Airolo,091 801 39 11,,,,*80-2-2,
02,234,0003,,002348,230,3,20041029,1,1,3,UBS CH,UBS Switzerland AG,Via A. Pini 34,Casella postale,6710,Biasca,091 801 38 11,,,,*80-2-2,
02,234,0006,,002348,230,3,20050422,1,1,3,UBS CH,UBS Switzerland AG,Largo Libero Olgiati 79,,6512,Giubiasco,091 801 35 11,,,,*80-2-2,
02,235,0000,,002353,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bubenbergplatz 3,Postfach,3000,Bern 94,031 336 21 11,,,,*80-2-2,UBSWCHZH30A
02,235,0001,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Langenthalstrasse 33,Postfach,4912,Aarwangen,062 916 90 11,,,,*80-2-2,
02,235,0002,,002353,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Bümpliz / Bottigenstrasse 2,Postfach,3018,Bern,031 998 72 72,,,,*80-2-2,
02,235,0003,,002353,230,3,20050428,1,1,1,UBS CH,UBS Switzerland AG,Länggassstrasse 29,Postfach,3000,Bern 9,031 307 83 83,,,,*80-2-2,
02,235,0004,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Bolligenstrasse 94,Postfach,3065,Bolligen Station,031 917 63 63,,,,*80-2-2,
02,235,0006,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Kramgasse 4,Postfach,3506,Grosshöchstetten,031 710 73 73,,,,*80-2-2,
02,235,0007,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Moosstrasse 2,Postfach,3073,Gümligen,031 958 88 88,,,,*80-2-2,
02,235,0008,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Wangenstrasse 10,Postfach,3360,Herzogenbuchsee,062 956 86 86,,,,*80-2-2,
02,235,0009,,002353,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Schwarzenburgstrasse 230,,3098,Köniz,031 978 68 68,,,,*80-2-2,
02,235,0010,,002353,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Kreuzplatz 1,Postfach,3510,Konolfingen,031 790 92 92,,,,*80-2-2,
02,235,0012,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Marktgasse 16,Postfach,4901,Langenthal,062 916 95 11,,,,*80-2-2,
02,235,0013,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Thunstrasse 4,Postfach,3110,Münsingen,031 724 74 11,,,,*80-2-2,
02,235,0014,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Burgdorfstrasse 3,Postfach,3672,Oberdiessbach,031 770 79 79,,,,*80-2-2,
02,235,0015,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Dorfstrasse 2,Postfach,4914,Roggwil BE,062 918 91 11,,,,*80-2-2,
02,235,0016,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Chasseralstrasse 156,Postfach,3095,Spiegel b. Bern,031 978 66 66,,,,*80-2-2,
02,235,0018,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Vorstadt 30,Postfach,3380,Wangen an der Aare,032 631 61 61,,,,*80-2-2,
02,235,0019,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Kirchweg 1,Postfach,3076,Worb 1,031 838 64 64,,,,*80-2-2,
02,235,0020,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Bernstrasse 94,Postfach,3052,Zollikofen,031 919 81 81,,,,*80-2-2,
02,235,0021,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Bärenplatz 8,Postfach,3000,Bern 94,031 336 21 11,,,,*80-2-2,
02,235,0022,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Breitenrainstrasse 10,Postfach,3000,Bern 22,031 336 70 11,,,,*80-2-2,
02,235,0024,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Bernstrasse 11,Postfach,3175,Flamatt,031 744 13 11,,,,*80-2-2,
02,235,0025,,002353,230,3,20050422,1,1,1,UBS CH,UBS Switzerland AG,Kalchofenstrasse 6,Postfach,3415,Hasle-Rüegsau,034 460 69 11,,,,*80-2-2,
02,235,0026,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Dorfstrasse 4,Postfach,3324,Hindelbank,034 411 84 11,,,,*80-2-2,
02,235,0027,,002353,230,3,20041030,1,1,1,UBS CH,UBS Switzerland AG,Talweg 14,Postfach,3063,Ittigen,031 924 12 11,,,,*80-2-2,
