name,post_code,city,short_name,pan,bic,bank_code
VR Bank Westküste,25836,Garding,VR Bank Westküste,62132,,051226
VR Bank Westküste,25826,Sankt Peter-Ording,VR Bank Westküste,62132,,051228
VR Bank Westküste,25832,Tönning,VR Bank Westküste,62132,,051229
VR Bank Westküste,25767,Albersdorf,VR Bank Westküste,62132,,057209
VR Bank Westküste,25779,Hennstedt,VR Bank Westküste,62132,,057210
VR Bank Westküste,25782,Tellingstedt,VR Bank Westküste,62132,,057211
VR Bank Westküste,25785,Nordhastedt,VR Bank Westküste,62132,,057213
VR Bank Westküste,25746,Heide,VR Bank Westküste,62132,,057214
VR Bank Westküste,25845,Nordstrand,VR Bank Westküste,62132,,017955
VR Bank Westküste (Gf P2),25803,Husum,VR Bank Westküste,72132,,053729
VR Bank Nord,24937,Flensburg,VR Bank Nord,62170,GENODEF1BDS,018180
VR Bank Nord,25842,Langenhorn,VR Bank Nord,62170,,016719
VR Bank Nord,25917,Leck,VR Bank Nord,62170,,016727
VR Bank Nord,25923,Süderlügum,VR Bank Nord,62170,,017055
VR Bank Nord,25920,Risum-Lindholm,VR Bank Nord,62170,,017140
VR Bank Nord,25821,Bredstedt,VR Bank Nord,62170,,032195
VR Bank Nord,24855,Jübek,VR Bank Nord,62170,,057282
VR Bank Nord,24887,Silberstedt,VR Bank Nord,62170,,057283
VR Bank Nord,24963,Tarp,VR Bank Nord,62170,,057284
VR Bank Nord,24964,Sörup,VR Bank Nord,62170,,057286
VR Bank Nord,24986,Mittelangeln,VR Bank Nord,62170,,057288
VR Bank Nord,25899,Niebüll,VR Bank Nord,62170,,057289
VR Bank Nord,24837,Schleswig,VR Bank Nord,62170,,057290
VR Bank Nord,24975,Husby,VR Bank Nord,62170,,057292
VR Bank Nord,24999,Wees,VR Bank Nord,62170,,057295
VR Bank Nord,24980,Schafflund,VR Bank Nord,62170,,057296
VR Bank Nord (Gf P2),24937,Flensburg,VR Bank Nord,72170,,053730
Deutsche Bank,25801,Husum,Deutsche Bank,27058,DEUTDEHH217,005751
Deutsche Bank,25801,Husum,Deutsche Bank,21058,DEUTDEDB217,049852
Sylter Bank,25980,Sylt,Sylter Bank,92126,GENODEF1SYL,016927
Sylter Bank (Gf P2),25980,Sylt,Sylter Bank,82126,,053731
Vereinigte VR Bank,25930,Wyk auf Föhr,Vereinigte VR Bank,92129,GENODEF1WYK,022443
Vereinigte VR Bank,25946,Norddorf auf Amrum,Vereinigte VR Bank,92129,,017948
Vereinigte VR Bank,25948,Nebel,Vereinigte VR Bank,92129,,018157
Vereinigte VR Bank,25946,Wittdün auf Amrum,Vereinigte VR Bank,92129,,043683
Vereinigte VR Bank (Gf P2),25930,Wyk auf Föhr,Vereinigte VR Bank,82129,,053732
Commerzbank,25740,Heide,Commerzbank Heide Holst,24213,COBADEFFXXX,006147
Commerzbank,25541,Brunsbüttel,Commerzbank Brunsbüttel,24201,COBADEFFXXX,005030
Sparkasse Hennstedt-Wesselburen -alt-,25764,Wesselburen,Spk Hennst.-Wesselb. -alt-,52144,NOLADE21WEB,002256
Raiffeisenbank Heide -alt-,25746,Heide,Raiffeisenbank Heide -alt-,62024,GENODEF1RHE,016868
Raiffeisenbank Heide (Gf P2),25746,Heide,Raiffeisenbank Heide,72024,,053733
Dithmarscher Volks- und Raiffeisenbank,25746,Heide,Dithmarscher VB Heide,92016,GENODEF1DVR,022294
Dithmarscher Volks- und Raiffeisenbank,25712,Burg (Dithmarschen),Dithmarscher VB Heide,92016,,016818
Dithmarscher Volks- und Raiffeisenbank,25770,Hemmingstedt,Dithmarscher VB Heide,92016,,016875
Dithmarscher Volks- und Raiffeisenbank,25715,Eddelak,Dithmarscher VB Heide,92016,,017068
Dithmarscher Volks- und Raiffeisenbank,25774,Lunden,Dithmarscher VB Heide,92016,,017109
Dithmarscher Volks- und Raiffeisenbank,25709,Marne,Dithmarscher VB Heide,92016,,017132
Dithmarscher Volks- und Raiffeisenbank,25541,Brunsbüttel,Dithmarscher VB Heide,92016,,021704
Dithmarscher Volks- und Raiffeisenbank,25761,Büsum,Dithmarscher VB Heide,92016,,021716
Dithmarscher Volks- und Raiffeisenbank,25704,Meldorf,Dithmarscher VB Heide,92016,,022081
Dithmarscher Volks- und Raiffeisenbank,25764,Wesselburen,Dithmarscher VB Heide,92016,,022393
Dithmarscher Volks- und Raiffeisenbank (Gf P2),25746,Heide,Dithmarscher VB Heide,82016,,053734
Commerzbank,25335,Elmshorn,Commerzbank Elmshorn,24203,COBADEFFXXX,005079
Commerzbank,21682,Stade,Commerzbank Stade,24203,,007001
Commerzbank,24559,Kaltenkirchen,Commerzbank Kaltenkirchen,24206,COBADEFFXXX,016949
Commerzbank,24558,Henstedt-Ulzburg,Commerzbank Henstedt-Ulzbg,24206,,049718
Commerzbank,25421,Pinneberg,Commerzbank Pinneberg,24209,COBADEFFXXX,007006
Commerzbank,25429,Uetersen,Commerzbank Uetersen,24198,COBADEFFXXX,006996
Sparkasse Elmshorn,25335,Elmshorn,Spk Elmshorn,52238,NOLADE21ELH,002033
Stadtsparkasse Wedel,22880,Wedel,St Spk Wedel,52283,NOLADE21WED,010006
Raiffeisenbank Elbmarsch,25492,Heist,Raiffbk Elbmarsch Heist,62602,GENODEF1HTE,016874
Raiffeisenbank Elbmarsch (Gf P2),25492,Heist,Raiffbk Elbmarsch Heist,72602,,053735
Raiffeisenbank Elbmarsch Heist,25489,Haseldorf,Raiffbk Elbmarsch Heist,62602,,016858
Raiffeisenbank Elbmarsch Heist,25488,Holm,Raiffbk Elbmarsch Heist,62602,,016896
Commerzbank vormals Dresdner Bank,25335,Elmshorn,Commerzbank Elmshorn,28221,DRESDEFF221,034822
Commerzbank vormals Dresdner Bank,25421,Pinneberg,Commerzbank Pinneberg,28224,DRESDEFF206,006763
Volksbank Elmshorn -alt-,25335,Elmshorn,Volksbank Elmshorn -alt-,92019,GENODEF1ELM,021445
Volksbank Elmshorn (Gf P2),25335,Elmshorn,Volksbank Elmshorn,82019,,053736
VR Bank in Holstein,25421,Pinneberg,VR Bank in Holstein,92095,GENODEF1PIN,022732
VR Bank in Holstein,25474,Bönningstedt,VR Bank in Holstein,92095,,016782
VR Bank in Holstein,25436,Tornesch,VR Bank in Holstein,92095,,022539
VR Bank in Holstein,25436,Uetersen,VR Bank in Holstein,92095,,022552
VR Bank in Holstein,25462,Rellingen,VR Bank in Holstein,92095,,022775
VR Bank in Holstein,25479,Ellerau,VR Bank in Holstein,92095,,038101
VR Bank in Holstein,25451,Quickborn,VR Bank in Holstein,92095,,052451
VR Bank in Holstein,25469,Halstenbek,VR Bank in Holstein,92095,,055710
VR Bank in Holstein,22869,Schenefeld,VR Bank in Holstein,92095,,055711
VR Bank in Holstein,25358,Horst (Holstein),VR Bank in Holstein,92095,,057703
VR Bank in Holstein,22844,Norderstedt,VR Bank in Holstein,92095,,057704
VR Bank in Holstein,25554,Wilster,VR Bank in Holstein,92095,,057705
VR Bank in Holstein,25335,Elmshorn,VR Bank in Holstein,92095,,057706
VR Bank in Holstein,25355,Barmstedt,VR Bank in Holstein,92095,,057707
VR Bank in Holstein,25348,Glückstadt,VR Bank in Holstein,92095,,057708
VR Bank in Holstein (Gf P2),25421,Pinneberg,VR Bank in Holstein,82095,,053737
Commerzbank,25502,Itzehoe,Commerzbank Itzehoe,24205,COBADEFFXXX,006106
Sparkasse Westholstein,25509,Itzehoe,Spk Westholstein,52231,NOLADE21WHO,001959
Sparkasse Westholstein,25348,Glückstadt,Spk Westholstein,52231,,001922
Sparkasse Westholstein,25548,Kellinghusen,Spk Westholstein,52231,,001972
Sparkasse Westholstein,25551,Hohenlockstedt,Spk Westholstein,52231,,002051
Sparkasse Westholstein,25560,Schenefeld,Spk Westholstein,52231,,052181
Sparkasse Westholstein,25554,Wilster,Spk Westholstein,52231,,052184
Sparkasse Westholstein,25541,Brunsbüttel,Spk Westholstein,52231,,052700
Sparkasse Westholstein,25693,St. Michaelisdonn,Spk Westholstein,52231,,052703
Sparkasse Westholstein,25746,Heide,Spk Westholstein,52231,,052704
Sparkasse Westholstein,25705,Marne,Spk Westholstein,52231,,052705
Sparkasse Westholstein,25767,Albersdorf,SpK Westholstein,52231,,055346
Sparkasse Westholstein,25712,Burg (Dithmarschen),SpK Westholstein,52231,,055347
Sparkasse Westholstein,25761,Büsum,SpK Westholstein,52231,,055348
Sparkasse Westholstein,25704,Meldorf,SPK Westholstein,52231,,055354
Sparkasse Westholstein,25358,Horst (Holstein),Spk Westholstein,52231,,055706
Commerzbank vormals Dresdner Bank,25503,Itzehoe,Commerzbank Itzehoe,28222,DRESDEFF201,034178
VR Itzehoe Norderstedt Hohenwestedt -alt-,25524,Itzehoe,VR Itzehoe Norderstedt-alt-,92020,GENODEF1VIT,022163
Volksbank Raiffbk Itzehoe Norderstedt Hohenwestedt (Gf P2),25524,Itzehoe,VR Itzehoe Norderstedt,82020,,053738
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,25551,Hohenlockstedt,VR Itzehoe Norderstedt,92020,,022120
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,25548,Kellinghusen,VR Itzehoe Norderstedt,92020,,022187
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,25560,Schenefeld,VR Itzehoe Norderstedt,92020,,022653
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,25596,Wacken,VR Itzehoe Norderstedt,92020,,053650
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,25554,Wilster,VR Itzehoe Norderstedt,92020,,053652
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,24594,Hohenwestedt,VR Itzehoe Norderstedt,92020,,054910
Volksbank Raiffeisenbank Itzehoe Norderstedt Hohenwestedt,22827,Norderstedt,VR Itzehoe Norderstedt,92020,,057379
Bundesbank eh Lübeck,22772,Hamburg,BBk Hamburg eh Lübeck,20230,MARKDEF1230,011394
Commerzbank,23547,Lübeck,Commerzbank Lübeck,24230,COBADEFFXXX,006181
Commerzbank,23879,Mölln,Commerzbank Mölln,24230,,043617
Commerzbank,23611,Bad Schwartau,Commerzbank Bad Schwartau,24230,,049640
"Hamburg Commercial Bank, ehemals HSH Nordbank Hamburg",20095,Hamburg,Hamburg Commercial Bank,,HSHNDEHH230,008801
Sparkasse zu Lübeck,23547,Lübeck,Sparkasse zu Lübeck,52301,NOLADE21SPL,001793
Sparkasse Südholstein,24531,Neumünster,Spk Südholstein Neumünster,52307,NOLADE21SHO,001724
Sparkasse Südholstein,24598,Boostedt,Spk Südholstein Neumünster,52307,,001693
Sparkasse Südholstein,24576,Bad Bramstedt,Spk Südholstein Neumünster,52307,,001723
Sparkasse Südholstein,23816,Leezen,Spk Südholstein Neumünster,52307,,001781
Sparkasse Südholstein,23866,Nahe,Spk Südholstein Neumünster,52307,,001817
Sparkasse Südholstein,24558,Henstedt-Ulzburg,Spk Südholstein Neumünster,52307,,001938
Sparkasse Südholstein,24568,Kaltenkirchen,Spk Südholstein Neumünster,52307,,001963
Sparkasse Südholstein,23812,Wahlstedt,Spk Südholstein Neumünster,52307,,002125
Sparkasse Südholstein,24610,Trappenkamp,Spk Südholstein Neumünster,52307,,002196
Sparkasse Südholstein,22846,Norderstedt,Spk Südholstein Neumünster,52307,,032602
Sparkasse Südholstein,25421,Pinneberg,Spk Südholstein Neumünster,52307,,052061
Sparkasse Südholstein,22869,Schenefeld,Spk Südholstein Neumünster,52307,,052064
Sparkasse Südholstein,25337,Kölln-Reisiek,Spk Südholstein Neumünster,52307,,052065
Sparkasse Südholstein,25355,Barmstedt,Spk Südholstein Neumünster,52307,,052066
Sparkasse Südholstein,25436,Uetersen,Spk Südholstein Neumünster,52307,,052068
Sparkasse Südholstein,25436,Tornesch,Spk Südholstein Neumünster,52307,,052069
Sparkasse Südholstein,25451,Quickborn,Spk Südholstein Neumünster,52307,,052070
Sparkasse Südholstein,25462,Rellingen,Spk Südholstein Neumünster,52307,,052071
Sparkasse Südholstein,25469,Halstenbek,Spk Südholstein Neumünster,52307,,052072
Sparkasse Südholstein,27498,Helgoland,Spk Südholstein Neumünster,52307,,052077
Sparkasse Südholstein,25479,Ellerau,Spk Südholstein Neumünster,52307,,052089
Sparkasse Südholstein,23795,Bad Segeberg,Spk Südholstein Neumünster,52307,,052845
Kreissparkasse Herzogtum Lauenburg,23879,Mölln,Kr Spk Herzogtum Lauenburg,52305,NOLADE21RZB,002086
Raiffeisenbank Leezen,23816,Leezen,Raiffeisenbank Leezen,62043,GENODEF1LZN,016728
Raiffeisenbank Leezen,23866,Nahe,Raiffeisenbank Leezen,62043,,018149
Raiffeisenbank Leezen,23812,Wahlstedt,Raiffeisenbank Leezen,62043,,032435
Raiffeisenbank Leezen,23795,Bad Segeberg,Raiffeisenbank Leezen,62043,,050495
Raiffeisenbank Leezen (Gf P2),23816,Leezen,Raiffeisenbank Leezen,72043,,053739
Raiffeisenbank -alt-,22935,Bargteheide,Raiffbk Bargteheide -alt-,62552,GENODEF1BAR,016762
Raiffeisenbank,23863,Bargfeld-Stegen,Raiffeisenbank Bargteheide,62552,,016760
Raiffeisenbank,22964,Steinburg,Raiffeisenbank Bargteheide,62552,,016800
Raiffeisenbank (Gf P2),22935,Bargteheide,Raiffeisenbank Bargteheide,72552,,053740
Raiffeisenbank,21470,Lauenburg,Raiffeisenbank Lauenburg,62611,GENODEF1RLB,016726
Raiffeisenbank (Gf P2),21470,Lauenburg,Raiffeisenbank Lauenburg,72611,,053742
Raiffeisenbank Lauenburg,19258,Boizenburg,Raiffeisenbank Lauenburg,62611,,046349
Raiffeisenbank Lauenburg,21487,Schwarzenbek,Raiffeisenbank Lauenburg,62611,,053576
Raiffeisenbank,21514,Büchen,Raiffeisenbank Büchen,62614,GENODEF1BCH,016814
Raiffeisenbank (Gf P2),21514,Büchen,Raiffeisenbank Büchen,72614,,053743
Raiffeisenbank Büchen,21493,Schwarzenbek,Raiffeisenbank Büchen,62614,,016952
Raiffeisenbank Büchen,19230,Hagenow,Raiffeisenbank Büchen,62614,,045701
Raiffeisenbank Büchen,19089,Crivitz,Raiffeisenbank Büchen,62614,,046034
Raiffeisenbank Büchen,19086,Plate,Raiffeisenbank Büchen,62614,,046035
Raiffeisenbank Büchen,19075,Pampow,Raiffeisenbank Büchen,62614,,049291
Postbank/DSL Ndl der Deutsche Bank,23566,Lübeck,Postbank Ndl Deutsche Bank,27203,DEUTDEHHP02,057528
Postbank/DSL Ndl der Deutsche Bank,23566,Lübeck,Postbank Ndl Deutsche Bank,21203,DEUTDEDBP02,057527
Deutsche Bank,23547,Lübeck,Deutsche Bank,21730,DEUTDEDB237,005800
Deutsche Bank,23758,Oldenburg in Holstein,Deutsche Bank,21730,,000602
Deutsche Bank,23623,Ahrensbök,Deutsche Bank,21730,,000611
Deutsche Bank,23611,Bad Schwartau,Deutsche Bank,21730,,000615
Deutsche Bank,23617,Stockelsdorf,Deutsche Bank,21730,,000616
Deutsche Bank,23871,Mölln,Deutsche Bank,21730,,000617
Deutsche Bank,23730,Neustadt in Holstein,Deutsche Bank,21730,,000620
Deutsche Bank,23909,Ratzeburg,Deutsche Bank,21730,,000621
Deutsche Bank,23669,Timmendorfer Strand,Deutsche Bank,21730,,000623
Deutsche Bank,23858,Reinfeld (Holstein),Deutsche Bank,21730,,000624
Deutsche Bank,23626,Ratekau,Deutsche Bank,21730,,000635
Deutsche Bank,23843,Bad Oldesloe,Deutsche Bank,21730,,004936
Deutsche Bank,23701,Eutin,Deutsche Bank,21730,,004951
Deutsche Bank,23795,Bad Segeberg,Deutsche Bank,21730,,032190
Deutsche Bank,23547,Lübeck,Deutsche Bank,27601,DEUTDEHH222,051543
Commerzbank vormals Dresdner Bank,23501,Lübeck,Commerzbank Lübeck,28230,DRESDEFF230,005604
Commerzbank vormals Dresdner Bank,23611,Bad Schwartau,Commerzbank Bad Schwartau,28230,,034789
Commerzbank vormals Dresdner Bank ITGK,23501,Lübeck,Commerzbank ITGK Lübeck,,DRESDEFFI08,050736
Volksbank Lübeck,23552,Lübeck,Volksbank Lübeck,92039,GENODEF1HLU,017697
Volksbank Lübeck,23611,Bad Schwartau,Volksbank Lübeck,92039,,016758
Volksbank Lübeck,23617,Stockelsdorf,Volksbank Lübeck,92039,,017041
Volksbank Lübeck (Gf P2),23505,Lübeck,Volksbank Lübeck,82039,,053744
Commerzbank,21303,Lüneburg,Commerzbank Lüneburg,24208,COBADEFFXXX,006177
Sparkasse Lüneburg,21309,Lüneburg,Spk Lüneburg,52401,NOLADE21LBG,009473
Sparkasse Lüneburg,21379,Scharnebeck,Spk Lüneburg,52401,,007857
Sparkasse Lüneburg,21391,Reppenstedt,Spk Lüneburg,52401,,007994
Sparkasse Lüneburg,21365,Adendorf,Spk Lüneburg,52401,,008837
Sparkasse Lüneburg,21368,Dahlenburg,Spk Lüneburg,52401,,009071
Sparkasse Lüneburg,21406,Melbeck,Spk Lüneburg,52401,,009312
Sparkasse Lüneburg,21354,Bleckede,Spk Lüneburg,52401,,010886
Sparkasse Lüneburg,21385,Amelinghausen,Spk Lüneburg,52401,,010942
Sparkasse Lüneburg,21357,Bardowick,Spk Lüneburg,52401,,011000
Sparkasse Lüneburg,21522,Hohnstorf (Elbe),Spk Lüneburg,52401,,033407
Sparkasse Lüneburg,21397,Barendorf,Spk Lüneburg,52401,,043750
Sparkasse Lüneburg,21382,Brietlingen,Spk Lüneburg,52401,,043751
Sparkasse Lüneburg,21407,Deutsch Evern,Spk Lüneburg,52401,,044117
Sparkasse Lüneburg,19273,Neuhaus,Spk Lüneburg,52401,,048254
Volksbank Lüneburger Heide,21412,Winsen (Luhe),VB Lüneburger Heide,62617,GENODEF1NBU,021707
Volksbank Lüneburger Heide,21149,Hamburg,VB Lüneburger Heide,62617,,018355
Volksbank Lüneburger Heide,21255,Tostedt,VB Lüneburger Heide,62617,,022540
Volksbank Lüneburger Heide,21435,Stelle,VB Lüneburger Heide,62617,,025815
Volksbank Lüneburger Heide,21438,Brackel,VB Lüneburger Heide,62617,,025895
Volksbank Lüneburger Heide,21624,Neu Wulmstorf,VB Lüneburger Heide,62617,,025987
Volksbank Lüneburger Heide,21232,Buchholz in der Nordheide,VB Lüneburger Heide,62617,,026029
Volksbank Lüneburger Heide,21447,Handorf,VB Lüneburger Heide,62617,,026095
Volksbank Lüneburger Heide,21266,Jesteburg,VB Lüneburger Heide,62617,,028092
Volksbank Lüneburger Heide,21217,Seevetal,VB Lüneburger Heide,62617,,028104
Volksbank Lüneburger Heide,21394,Kirchgellersen,VB Lüneburger Heide,62617,,028354
Volksbank Lüneburger Heide,21442,Toppenstedt,VB Lüneburger Heide,62617,,028573
Volksbank Lüneburger Heide,21224,Rosengarten,VB Lüneburger Heide,62617,,028825
Volksbank Lüneburger Heide,21373,Salzhausen,VB Lüneburger Heide,62617,,028878
Volksbank Lüneburger Heide,21272,Egestorf,VB Lüneburger Heide,62617,,029160
Volksbank Lüneburger Heide,21271,Hanstedt,VB Lüneburger Heide,62617,,029280
Volksbank Lüneburger Heide,21274,Undeloh,VB Lüneburger Heide,62617,,029701
Volksbank Lüneburger Heide,21261,Welle,VB Lüneburger Heide,62617,,029776
Volksbank Lüneburger Heide,21365,Adendorf,VB Lüneburger Heide,62617,,056170
Volksbank Lüneburger Heide,21385,Amelinghausen,VB Lüneburger Heide,62617,,056171
Volksbank Lüneburger Heide,29683,Bad Fallingbostel,VB Lüneburger Heide,62617,,056172
Volksbank Lüneburger Heide,21357,Bardowick,VB Lüneburger Heide,62617,,056173
Volksbank Lüneburger Heide,29646,Bispingen,VB Lüneburger Heide,62617,,056174
Volksbank Lüneburger Heide,21354,Bleckede,VB Lüneburger Heide,62617,,056175
Volksbank Lüneburger Heide,21368,Dahlenburg,VB Lüneburger Heide,62617,,056177
Volksbank Lüneburger Heide,29693,Hodenhagen,VB Lüneburger Heide,62617,,056178
Volksbank Lüneburger Heide,19249,Lübtheen,VB Lüneburger Heide,62617,,056179
Volksbank Lüneburger Heide,21335,Lüneburg,VB Lüneburger Heide,62617,,056180
Volksbank Lüneburger Heide,21406,Melbeck,VB Lüneburger Heide,62617,,056181
Volksbank Lüneburger Heide,29633,Munster,VB Lüneburger Heide,62617,,056182
Volksbank Lüneburger Heide,29643,Neuenkirchen,VB Lüneburger Heide,62617,,056183
Volksbank Lüneburger Heide,19273,Neuhaus,VB Lüneburger Heide,62617,,056184
Volksbank Lüneburger Heide,19230,Redefin,VB Lüneburger Heide,62617,,056185
Volksbank Lüneburger Heide,21391,Reppenstedt,VB Lüneburger Heide,62617,,056186
Volksbank Lüneburger Heide,27336,Rethem (Aller),VB Lüneburger Heide,62617,,056187
Volksbank Lüneburger Heide,29640,Schneverdingen,VB Lüneburger Heide,62617,,056188
Volksbank Lüneburger Heide,29690,Schwarmstedt,VB Lüneburger Heide,62617,,056189
Volksbank Lüneburger Heide,29605,Soltau,VB Lüneburger Heide,62617,,056190
Volksbank Lüneburger Heide,21395,Tespe,VB Lüneburger Heide,62617,,056191
Volksbank Lüneburger Heide,19260,Vellahn,VB Lüneburger Heide,62617,,056192
Volksbank Lüneburger Heide,27369,Visselhövede,VB Lüneburger Heide,62617,,056193
Volksbank Lüneburger Heide,29664,Walsrode,VB Lüneburger Heide,62617,,056194
Volksbank Lüneburger Heide,29649,Wietzendorf,VB Lüneburger Heide,62617,,056195
Volksbank Lüneburger Heide (Gf P2),21412,Winsen (Luhe),VB Lüneburger Heide,72617,,053746
Volksbank Bleckede-Dahlenburg -alt-,21366,Dahlenburg,VB Bleckede-Dahlenbg -alt-,62054,GENODEF1DAB,025931
Deutsche Bank,21304,Lüneburg,Deutsche Bank,21681,DEUTDEDB240,049853
Deutsche Bank,29503,Uelzen,Deutsche Bank,21681,DEUTDEDB242,049854
Deutsche Bank,21304,Lüneburg,Deutsche Bank,27681,DEUTDE2H240,005798
Deutsche Bank,29503,Uelzen,Deutsche Bank,27681,DEUTDE2H241,031398
Postbank/DSL Ndl der Deutsche Bank,21335,Lüneburg,Postbank Ndl Deutsche Bank,21368,DEUTDEDBP22,057569
Postbank/DSL Ndl der Deutsche Bank,21335,Lüneburg,Postbank Ndl Deutsche Bank,27368,DEUTDE2HP22,057568
Commerzbank vormals Dresdner Bank,21304,Lüneburg,Commerzbank Lüneburg,28240,DRESDEFF240,036552
Volksbank Lüneburg -alt-,21319,Lüneburg,VB Lüneburg -alt-,92022,GENODEF1LUE,022051
Volksbank Lüneburg (Gf P2),21319,Lüneburg,VB Lüneburg,82022,,053747
Ritterschaftliches Kreditinstitut Stade,21682,Stade,Ritter Kredit Stade,,GENODED1RKI,049737
Commerzbank,27451,Cuxhaven,Commerzbank Cuxhaven,24202,COBADEFFXXX,005096
Stadtsparkasse Cuxhaven,27456,Cuxhaven,St Spk Cuxhaven,52402,BRLADE21CUX,011237
Sparkasse Stade-Altes Land,21660,Stade,Spk Stade-Altes Land,52403,NOLADE21STS,009976
Sparkasse Stade-Altes Land,21635,Jork,Spk Stade-Altes Land,52403,,008521
Sparkasse Stade-Altes Land,21720,Steinkirchen,Spk Stade-Altes Land,52403,,008711
Kreissparkasse Stade,21655,Stade,Kreissparkasse Stade,52410,NOLADE21STK,009378
Kreissparkasse Stade,21737,Wischhafen,Kreissparkasse Stade,52410,,007941
Kreissparkasse Stade,21702,Ahlerstedt,Kreissparkasse Stade,52410,,008831
Kreissparkasse Stade,21709,Himmelpforten,Kreissparkasse Stade,52410,,008969
Kreissparkasse Stade,21640,Horneburg,Kreissparkasse Stade,52410,,008997
Kreissparkasse Stade,21706,Drochtersen,Kreissparkasse Stade,52410,,009093
Kreissparkasse Stade,21698,Harsefeld,Kreissparkasse Stade,52410,,009198
Kreissparkasse Stade,27449,Kutenholz,Kreissparkasse Stade,52410,,009280
Kreissparkasse Stade,21717,Fredenbeck,Kreissparkasse Stade,52410,,010756
Kreissparkasse Stade,21729,Freiburg (Elbe),Kreissparkasse Stade,52410,,010759
Kreissparkasse Stade,21641,Apensen,Kreissparkasse Stade,52410,,010964
Sparkasse Rotenburg Osterholz,27393,Zeven,Spk Rotenburg Osterholz,52418,BRLADE21ROB,010904
Zevener Volksbank -alt-,27404,Zeven,Zevener Volksbank -alt-,62077,GENODEF1SIT,026350
Zevener Volksbank,27412,Tarmstedt,Zevener Volksbank,62077,,022526
Zevener Volksbank,27446,Selsingen,Zevener Volksbank,62077,,026348
Zevener Volksbank,27419,Sittensen,Zevener Volksbank,62077,,051562
Zevener Volksbank,27404,Heeslingen,Zevener Volksbank,62077,,051565
Zevener Volksbank (Gf P2),27404,Zeven,Zevener Volksbank,72077,,053748
Spar- u Darlehnskasse Börde Lamstedt-Hechthausen,21767,Lamstedt,Spar- u Darlehnskasse Börde,62599,GENODEF1LAS,026214
Spar- u Darlehnskasse Börde Lamstedt-Hechthausen,21755,Hechthausen,Spar- u Darlehnskasse Börde,62599,,026109
Spar- u Darlehnskasse Börde Lamstedt-Hechthausen (Gf P2),21767,Lamstedt,Spar- u Darlehnskasse Börde,72599,,053749
Commerzbank vormals Dresdner Bank,21758,Otterndorf,Commerzbank Otterndorf,28242,DRESDEFF242,006824
Commerzbank vormals Dresdner Bank,27452,Cuxhaven,Commerzbank Cuxhaven,28241,DRESDEFF241,005334
Volksbank Stade-Cuxhaven,21661,Stade,Volksbank Stade-Cuxhaven,92069,GENODEF1SDE,022480
Volksbank Stade-Cuxhaven,21606,Buxtehude,Volksbank Stade-Cuxhaven,92069,,021728
Volksbank Stade-Cuxhaven,21707,Himmelpforten,Volksbank Stade-Cuxhaven,92069,,026171
Volksbank Stade-Cuxhaven,21631,Jork,Volksbank Stade-Cuxhaven,92069,,026189
Volksbank Stade-Cuxhaven,21741,Hemmoor,Volksbank Stade-Cuxhaven,92069,,031599
Volksbank Stade-Cuxhaven,21720,Steinkirchen,Volksbank Stade-Cuxhaven,92069,,036707
Volksbank Stade-Cuxhaven,21781,Cadenberge,Volksbank Stade-Cuxhaven,92069,,051864
Volksbank Stade-Cuxhaven,27498,Helgoland,Volksbank Stade-Cuxhaven,92069,,051865
Volksbank Stade-Cuxhaven,21762,Otterndorf,Volksbank Stade-Cuxhaven,92069,,051866
Volksbank Stade-Cuxhaven,21765,Nordleda,Volksbank Stade-Cuxhaven,92069,,051867
Volksbank Stade-Cuxhaven,27474,Cuxhaven,Volksbank Stade-Cuxhaven,92069,,051868
Volksbank Stade-Cuxhaven (Gf P2),21661,Stade,Volksbank Stade-Cuxhaven,82069,,053750
Bundesbank,30002,Hannover,BBk Hannover,20250,MARKDEF1250,011397
Postbank Ndl der Deutsche Bank,30139,Hannover,Postbank Ndl Deutsche Bank,10030,PBNKDEFFXXX,014911
Aareal Bank ehem. Filiale Hannover,65189,Wiesbaden,Aareal Bank Wiesbaden,26912,AARBDE5W250,006302
NORD/LB vormals Deutsche Hypothekenbank,30159,Hannover,NORD/LB Deut. Hypo Hannover,26720,DEHYDE2HXXX,000504
Calenberger Kreditverein,30159,Hannover,Calenbg Kreditver Hannover,25270,CKVHDE21XXX,046818
BHF-BANK,30159,Hannover,BHF-BANK Hannover,25157,BHFBDEFF250,006301
Santander Consumer Bank,30179,Hannover,Santander Consumer Bank,25005,SCFBDE33XXX,032897
Commerzbank CC,30159,Hannover,Commerzbank CC Hannover,,COBADEFFXXX,055813
Commerzbank CC,30159,Hannover,Commerzbank CC Hannover,,COBADEFFXXX,055814
Commerzbank,30012,Hannover,Commerzbank Hannover,24250,COBADEFFXXX,006136
Commerzbank,30811,Garbsen,Commerzbank Garbsen,24250,,005045
Commerzbank,31042,Alfeld (Leine),Commerzbank Alfeld Leine,24250,,005103
Commerzbank,30953,Hemmingen,Commerzbank Hemmingen Han,24250,,006161
